nohup: ignoring input
Start computation at Thu May 30 19:12:39 2024
PID: 4031285
User: f.ramacciotti
Hostname: r740xd-4
Contents RocksDB in /disk2/federico/the-stack/contents_db-uncomp-4K_block
Putting temp RocksDBs in /disk2/federico/db/tmp/
Dataset /disk2/federico/the-stack/the-stack-10G_minsize_1012K.parquet, size 10215.424 MiB

Reading parquet and computing fingerprints: 120 s

BLOCK_SIZE(KiB),COMPRESSION,ORDERING,SORTING_TIME(s),AVG_INSERT_TIME(s),COMPRESSION_RATIO(%),TOT_SIZE(GiB),AVG_SINGLE_GET_TIME(ms),SINGLE_GET_THROUGHPUT(KiB/s),AVG_MULTI_GET_5_TIME(ms),MULTI_GET_5_THROUGHPUT(MiB/S),AVG_MULTI_GET_10_TIME(ms),MULTI_GET_10_THROUGHPUT(MiB/S)
256.0,no_compression,parquet,0,0.0107,112.571,11.23,5.384,213.759,1.869,615.976,1.822,631.844
256.0,zstd_compression-3,parquet,0,0.0247,40.823,4.072,8.242,129.344,6.64,160.555,6.564,162.412
256.0,zstd_compression-3,filename,0.02,0.02335,40.615,4.052,9.208,111.716,7.757,132.604,7.828,131.41
256.0,zstd_compression-3,filename_repo,0.026,0.0234,40.689,4.059,9.21,120.789,7.592,146.532,7.619,146.006
256.0,zstd_compression-3,repo_filename,0.025,0.02356,40.776,4.068,9.939,125.477,7.06,176.646,7.142,174.613
256.0,zstd_compression-3,fingerprint-tlsh,0.023,0.02515,46.837,4.673,9.076,131.15,7.68,154.985,7.786,152.866
256.0,zstd_compression-12,parquet,0,0.07898,38.961,3.887,7.112,141.55,5.538,181.786,5.583,180.297
256.0,zstd_compression-12,filename,0.018,0.07343,38.912,3.882,8.588,130.725,6.978,160.886,7.026,159.78
256.0,zstd_compression-12,filename_repo,0.024,0.07366,38.922,3.883,10.878,153.348,8.619,193.552,7.953,209.753
256.0,zstd_compression-12,repo_filename,0.023,0.0774,38.891,3.88,9.428,123.312,7.773,149.562,7.614,152.692
256.0,zstd_compression-12,fingerprint-tlsh,0.021,0.0814,36.241,3.615,8.423,145.742,6.986,175.738,6.865,178.826
256.0,zstd_compression-22,parquet,0,1.14047,37.708,3.762,8.733,155.052,6.405,211.392,6.397,211.686
256.0,zstd_compression-22,filename,0.019,1.1506,39.398,3.93,9.011,130.668,7.297,161.365,7.315,160.972
256.0,zstd_compression-22,filename_repo,0.025,1.14671,39.392,3.93,7.458,144.163,6.285,171.056,6.299,170.684
256.0,zstd_compression-22,repo_filename,0.027,1.14643,37.615,3.752,8.088,179.373,5.514,263.108,5.428,267.252
256.0,zstd_compression-22,fingerprint-tlsh,0.022,1.24454,34.88,3.48,7.299,146.314,5.911,180.667,5.876,181.752
256.0,snappy_compression-0,parquet,0,0.01047,65.041,6.488,10.903,153.436,7.574,220.891,7.645,218.835
256.0,snappy_compression-0,filename,0.015,0.01001,61.329,6.118,5.275,232.516,3.864,317.361,3.863,317.45
256.0,snappy_compression-0,filename_repo,0.024,0.0103,61.466,6.132,5.508,285.82,3.63,433.682,3.637,432.84
256.0,snappy_compression-0,repo_filename,0.025,0.01019,66.292,6.613,6.255,202.751,4.122,307.711,4.136,306.673
256.0,snappy_compression-0,fingerprint-tlsh,0.021,0.01137,58.289,5.815,4.715,234.073,3.301,334.327,3.314,333.043
256.0,zlib_compression-0,parquet,0,0.02823,41.748,4.165,5.883,277.146,3.703,440.344,3.854,423.095
256.0,zlib_compression-0,filename,0.018,0.0271,41.771,4.167,4.731,228.426,3.253,332.146,3.251,332.374
256.0,zlib_compression-0,filename_repo,0.025,0.02715,41.765,4.167,4.154,249.234,2.888,358.432,2.896,357.455
256.0,zlib_compression-0,repo_filename,0.026,0.02749,41.725,4.162,4.725,242.776,3.34,343.509,3.103,369.722
256.0,zlib_compression-0,fingerprint-tlsh,0.02,0.03008,39.718,3.962,8.313,216.897,6.052,297.962,6.035,298.798

1024.0,no_compression,parquet,0,0.01063,112.571,11.23,5.854,224.08,2.087,628.465,2.122,618.073
1024.0,zstd_compression-3,parquet,0,0.02457,40.823,4.072,10.023,122.89,8.043,153.145,8.07,152.626
1024.0,zstd_compression-3,filename,0.017,0.0229,40.703,4.061,9.525,118.071,7.626,147.47,7.658,146.856
1024.0,zstd_compression-3,filename_repo,0.026,0.02216,44.322,4.422,8.743,120.268,6.539,160.811,6.571,160.024
1024.0,zstd_compression-3,repo_filename,0.026,0.02243,40.71,4.061,7.301,142.529,5.844,178.081,5.85,177.879
1024.0,zstd_compression-3,fingerprint-tlsh,0.022,0.02425,46.242,4.613,7.533,142.346,6.484,165.378,6.517,164.546
1024.0,zstd_compression-12,parquet,0,0.078,38.961,3.887,10.646,121.06,8.697,148.191,8.661,148.804
1024.0,zstd_compression-12,filename,0.02,0.07289,38.912,3.882,10.347,127.267,8.498,154.96,8.508,154.769
1024.0,zstd_compression-12,filename_repo,0.025,0.07287,38.922,3.883,7.53,134.438,6.322,160.106,6.335,159.799
1024.0,zstd_compression-12,repo_filename,0.024,0.07691,38.896,3.88,7.81,139.794,6.453,169.19,6.658,163.977
1024.0,zstd_compression-12,fingerprint-tlsh,0.022,0.08165,36.277,3.619,6.3,157.857,5.179,192.003,5.221,190.474
1024.0,zstd_compression-22,parquet,0,1.14126,37.708,3.762,8.761,122.343,7.172,149.455,7.225,148.35
1024.0,zstd_compression-22,filename,0.014,1.14644,39.363,3.927,8.761,134.972,7.013,168.611,7.011,168.652
1024.0,zstd_compression-22,filename_repo,0.024,1.14789,39.392,3.93,12.057,121.423,10.191,143.646,10.164,144.03
1024.0,zstd_compression-22,repo_filename,0.027,1.14415,37.615,3.752,7.489,136.563,6.028,169.656,6.212,164.647
1024.0,zstd_compression-22,fingerprint-tlsh,0.022,1.24443,34.939,3.486,8.226,134.054,6.903,159.729,6.911,159.547
1024.0,snappy_compression-0,parquet,0,0.01093,65.041,6.488,10.934,133.144,6.653,218.833,6.682,217.893
1024.0,snappy_compression-0,filename,0.017,0.01012,61.642,6.149,4.723,231.103,3.199,341.151,3.273,333.482
1024.0,snappy_compression-0,filename_repo,0.024,0.01027,61.78,6.163,8.463,218.84,5.867,315.635,5.745,322.34
1024.0,snappy_compression-0,repo_filename,0.025,0.01021,53.782,5.365,8.01,188.446,4.614,327.14,4.77,316.455
1024.0,snappy_compression-0,fingerprint-tlsh,0.019,0.01139,58.494,5.835,7.832,205.5,4.854,331.597,4.764,337.851
1024.0,zlib_compression-0,parquet,0,0.02845,41.748,4.165,4.421,246.215,2.798,388.961,2.806,387.848
1024.0,zlib_compression-0,filename,0.018,0.02747,41.747,4.165,6.591,266.187,3.978,441.026,4.081,429.912
1024.0,zlib_compression-0,filename_repo,0.024,0.02747,41.78,4.168,4.592,244.614,2.85,394.135,2.885,389.391
1024.0,zlib_compression-0,repo_filename,0.026,0.02735,41.725,4.162,7.068,273.047,4.38,440.613,4.602,419.371
1024.0,zlib_compression-0,fingerprint-tlsh,0.02,0.02955,39.868,3.977,3.872,273.343,2.772,381.794,2.804,377.397

4096.0,no_compression,parquet,0,0.00983,112.569,11.23,17.021,64.658,5.329,206.531,5.36,205.331
4096.0,zstd_compression-3,parquet,0,0.02486,40.848,4.075,31.209,41.284,27.621,46.648,26.719,48.222
4096.0,zstd_compression-3,filename,0.02,0.02298,40.604,4.051,29.512,35.224,25.915,40.113,25.754,40.364
4096.0,zstd_compression-3,filename_repo,0.025,0.02301,40.736,4.064,27.89,37.646,24.34,43.136,24.355,43.11
4096.0,zstd_compression-3,repo_filename,0.024,0.0237,40.712,4.061,31.439,40.568,27.846,45.803,27.115,47.037
4096.0,zstd_compression-3,fingerprint-tlsh,0.021,0.02564,47.193,4.708,26.83,44.996,23.163,52.118,23.066,52.338
4096.0,zstd_compression-12,parquet,0,0.08311,38.927,3.883,30.62,35.727,25.39,43.085,25.678,42.602
4096.0,zstd_compression-12,filename,0.017,0.0774,38.602,3.851,27.152,39.808,23.164,46.661,23.241,46.506
4096.0,zstd_compression-12,filename_repo,0.025,0.07768,38.604,3.851,26.354,45.661,22.531,53.408,22.779,52.827
4096.0,zstd_compression-12,repo_filename,0.023,0.08049,38.653,3.856,28.799,36.546,24.805,42.431,24.978,42.136
4096.0,zstd_compression-12,fingerprint-tlsh,0.021,0.08482,35.938,3.585,20.127,49.601,18.063,55.267,17.991,55.489
4096.0,zstd_compression-22,parquet,0,1.16579,37.587,3.75,39.811,29.318,34.165,34.162,34.73,33.607
4096.0,zstd_compression-22,filename,0.042,1.17816,37.377,3.729,23.967,46.822,20.528,54.667,20.742,54.102
4096.0,zstd_compression-22,filename_repo,0.058,1.1746,37.38,3.729,25.404,41.359,22.174,47.383,22.275,47.169
4096.0,zstd_compression-22,repo_filename,0.025,1.17681,37.329,3.724,28.537,43.075,23.675,51.921,23.653,51.969
4096.0,zstd_compression-22,fingerprint-tlsh,0.022,1.25594,34.251,3.417,28.556,73.29,24.113,86.794,24.437,85.641
4096.0,snappy_compression-0,parquet,0,0.01034,55.362,5.523,19.937,55.348,13.723,80.41,14.001,78.816
4096.0,snappy_compression-0,filename,0.017,0.01073,61.958,6.181,15.731,75.048,9.628,122.62,9.868,119.631
4096.0,snappy_compression-0,filename_repo,0.025,0.01039,61.752,6.16,16.155,75.779,11.145,109.846,11.304,108.293
4096.0,snappy_compression-0,repo_filename,0.025,0.01014,53.581,5.345,20.825,99.253,14.665,140.943,14.425,143.293
4096.0,snappy_compression-0,fingerprint-tlsh,0.02,0.01128,59.193,5.905,15.624,79.584,10.293,120.81,10.383,119.76
4096.0,zlib_compression-0,parquet,0,0.02864,41.756,4.166,15.528,72.469,10.954,102.731,11.127,101.139
4096.0,zlib_compression-0,filename,0.017,0.02784,41.813,4.171,15.966,89.476,11.341,125.963,11.639,122.733
4096.0,zlib_compression-0,filename_repo,0.025,0.02749,41.773,4.167,13.755,91.779,9.499,132.907,9.596,131.557
4096.0,zlib_compression-0,repo_filename,0.027,0.02782,41.806,4.171,13.531,86.755,9.278,126.532,9.857,119.088
4096.0,zlib_compression-0,fingerprint-tlsh,0.022,0.02963,39.835,3.974,12.365,83.303,9.204,111.907,9.184,112.155
10240.0,no_compression,parquet,0,0.0103,112.569,11.23,43.577,30.793,12.385,108.346,11.223,119.566
10240.0,zstd_compression-3,parquet,0,0.02475,40.845,4.075,82.261,12.085,72.997,13.619,72.638,13.687
10240.0,zstd_compression-3,filename,0.016,0.02364,40.629,4.053,75.248,14.314,66.92,16.096,66.353,16.233
10240.0,zstd_compression-3,filename_repo,0.025,0.02334,44.261,4.415,78.891,13.265,69.125,15.14,69.262,15.11
10240.0,zstd_compression-3,repo_filename,0.026,0.02395,40.729,4.063,70.287,14.622,62.105,16.549,61.676,16.664
10240.0,zstd_compression-3,fingerprint-tlsh,0.022,0.02531,46.787,4.667,60.74,25.806,54.993,28.504,55.053,28.472
10240.0,zstd_compression-12,parquet,0,0.08488,38.872,3.878,71.066,14.858,62.977,16.766,62.547,16.882
10240.0,zstd_compression-12,filename,0.018,0.07944,38.5,3.841,67.93,15.666,58.978,18.044,59.082,18.012
10240.0,zstd_compression-12,filename_repo,0.027,0.07927,38.498,3.841,64.533,15.406,57.59,17.263,57.724,17.223
10240.0,zstd_compression-12,repo_filename,0.025,0.08163,38.604,3.851,63.235,16.54,54.401,19.226,54.535,19.179
10240.0,zstd_compression-12,fingerprint-tlsh,0.022,0.08648,35.959,3.587,59.658,18.025,54.583,19.701,54.478,19.739
10240.0,zstd_compression-22,parquet,0,1.18444,37.472,3.738,72.272,14.417,64.562,16.139,64.516,16.151
10240.0,zstd_compression-22,filename,0.018,1.19931,37.201,3.711,65.289,17.716,58.643,19.724,59.787,19.346
10240.0,zstd_compression-22,filename_repo,0.028,1.1947,37.198,3.711,64.456,16.01,56.931,18.126,57.967,17.802
10240.0,zstd_compression-22,repo_filename,0.025,1.19178,37.231,3.714,80.638,14.174,73.157,15.624,72.73,15.715
10240.0,zstd_compression-22,fingerprint-tlsh,0.022,1.27354,34.574,3.449,66.402,16.814,58.438,19.106,58.124,19.209
10240.0,snappy_compression-0,parquet,0,0.01031,Traceback (most recent call last):
  File "/home/f.ramacciotti/ppc-swh-rocksdb/bench_the_stack.py", line 398, in <module>
    metainfo_df=metainfo_df,
^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/f.ramacciotti/ppc-swh-rocksdb/bench_the_stack.py", line 209, in test
    compression_ratio = round((total_db_size * 100) / parq_size_b, 3)
                                 ^^^^^^^^^^^^^^^^^^^
  File "<frozen genericpath>", line 50, in getsize
FileNotFoundError: [Errno 2] No such file or directory: '/disk2/federico/db/tmp/db_10G_minsize_1012K_snappy_compression_10485760_1717355335/000018.log'
